Multiloja;CodTratado;CodAlternat;DataPrioridade;DataPedido;StatusPedido
0;881857925200;557170001;0;22/09/2025;0
0;600050804800;163809490;0;22/09/2025;0
0;633195887500;377553145;0;22/09/2025;0
0;881857925500;157304011;0;22/09/2025;0
0;600050804400;166970000;0;22/09/2025;0
0;600050805400;122210203;0;22/09/2025;0
0;600050804500;163906151;0;22/09/2025;0
0;600050806700;120198660;0;22/09/2025;0
0;600050805200;263906101;0;22/09/2025;0
0;600050802200;121115075;0;22/09/2025;0
0;600050805100;323360405;0;22/09/2025;0
0;600050804600;421115095;0;22/09/2025;0
0;881857925600;557170005;0;22/09/2025;0
0;600050804700;623360405;0;22/09/2025;0
0;600050804200;163906151;0;22/09/2025;0
0;600050804100;1223360405;0;22/09/2025;0
0;600050805300;323360405;0;22/09/2025;0
0;600050803500;163906210;0;22/09/2025;0
0;633195887400;144130011;0;22/09/2025;0
0;600050806800;163906161;0;22/09/2025;0
0;600050806300;163906161;0;22/09/2025;0
0;600050806600;166906141;0;22/09/2025;0
0;600050806000;121100675;0;22/09/2025;0
0;600050804900;123180994;0;23/09/2025;0
0;633195887600;141505032;0;23/09/2025;0
0;600050787400;120056024;0;23/09/2025;0
0;600050806100;125588132;0;23/09/2025;0
0;600050810900;323360405;0;25/09/2025;0
0;600050809100;161772030;0;25/09/2025;0
0;600050810100;123375082;0;25/09/2025;0
0;600050809800;122330100;0;25/09/2025;0
0;600050809600;323360405;0;25/09/2025;0
0;600050809500;1223360405;0;25/09/2025;0
0;600050808400;266906031;0;25/09/2025;0
0;600050809300;163906151;0;25/09/2025;0
0;600050809200;266906141;0;25/09/2025;0
0;600050810800;1223360405;0;25/09/2025;0
0;600050808500;122211204;0;25/09/2025;0
0;600050808700;123422008;0;25/09/2025;0
0;600050807900;163809090;0;25/09/2025;0
0;633195887900;278755004;0;25/09/2025;0
0;633195887800;177850184;0;25/09/2025;0
0;881857925900;158000124;0;25/09/2025;0
0;881857925700;157145044;0;25/09/2025;0
0;600050808900;121198716;0;25/09/2025;0
0;600050811100;225962100;0;25/09/2025;0
0;600050811000;123422008;0;25/09/2025;0
0;633195887700;177630105;0;25/09/2025;0
0;600050808000;163960150;0;25/09/2025;0
0;600050808200;125694100;0;25/09/2025;0
0;600050809700;163906470;0;25/09/2025;0
0;600050811400;161992180;0;25/09/2025;0
0;600050809000;363906101;0;25/09/2025;0
0;600050809900;125164100;0;25/09/2025;0
0;600050811200;125625100;0;25/09/2025;0
0;600050808800;121100675;0;25/09/2025;0
0;600050807200;163906161;0;25/09/2025;0
0;600050811500;123429006;0;25/09/2025;0
0;600050809400;163906101;0;25/09/2025;0
0;600050811300;166906141;0;25/09/2025;0
0;600050808600;163906190;0;25/09/2025;0
0;600050810000;125966100;0;25/09/2025;0
0;600050807300;163906161;0;25/09/2025;0
0;600050807800;125905166;0;25/09/2025;0
0;644699039600;192300010;0;26/09/2025;0
0;600050818900;125588132;0;26/09/2025;0
0;600050814500;125966100;0;26/09/2025;0
0;600050820300;163950190;0;26/09/2025;0
0;600050814800;123429006;0;26/09/2025;0
0;600050813700;123360905;0;26/09/2025;0
0;600050813600;123430035;0;26/09/2025;0
0;600050821500;163950190;0;26/09/2025;0
0;600050812100;126408000;0;26/09/2025;0
0;600050816200;323360405;0;26/09/2025;0
0;600050821100;123854105;0;26/09/2025;0
0;600050812200;125926160;0;26/09/2025;0
0;600050819700;123429006;0;26/09/2025;0
0;633195888300;144660133;0;26/09/2025;0
0;600050815600;123429006;0;26/09/2025;0
0;600050811900;120298664;0;26/09/2025;0
0;600050821600;121156170;0;26/09/2025;0
0;600050814900;166906041;0;26/09/2025;0
0;633195888400;177275204;0;26/09/2025;0
0;600050814400;566906041;0;26/09/2025;0
0;600050821200;166906041;0;26/09/2025;0
0;600050812800;325165170;0;26/09/2025;0
0;600050812400;225165170;0;26/09/2025;0
0;600050813500;332336347022337508222341906312639021101263985140;0;26/09/2025;0
0;600050818700;123422008;0;26/09/2025;0
0;600050812500;125165170;0;26/09/2025;0
0;600050818800;122328007;0;26/09/2025;0
0;600050816300;123422008;0;26/09/2025;0
0;600050812600;1025165170;0;26/09/2025;0
0;600050819100;122211204;0;26/09/2025;0
0;600050819500;122210203;0;26/09/2025;0
0;600050815100;126400101;0;26/09/2025;0
0;600050812700;125165170;0;26/09/2025;0
0;633195888500;177850184;0;26/09/2025;0
0;600050819800;123422008;0;26/09/2025;0
0;600050820200;126400101;0;26/09/2025;0
0;881857926100;257402007;0;26/09/2025;0
0;600050814200;763912050;0;26/09/2025;0
0;600050815800;422950005;0;26/09/2025;0
0;600050815200;163906151;0;26/09/2025;0
0;600050820500;163800642;0;26/09/2025;0
0;633195888000;177101124;0;26/09/2025;0
0;600050815500;125571130;0;26/09/2025;0
0;600050819600;123429036;0;26/09/2025;0
0;600050814300;163906161;0;26/09/2025;0
